epoch,train_loss,valid_loss
1,5.6636961152,5.6106517940
2,5.6161195579,5.6073982254
3,5.6146624002,5.6068330506
4,5.6142566723,5.6066962426
5,5.6140645964,5.6065603007
6,5.6139363281,5.6063393014
7,5.6138658404,5.6067377241
8,5.6138222470,5.6061630489
9,5.6137934967,5.6063623349
10,5.6137348701,5.6061734441
11,5.6137342983,5.6062044499
12,5.6137012552,5.6061696397
13,5.6136748918,5.6064526893
14,5.6136975844,5.6061796485
15,5.6136892044,5.6061333529
16,5.6136718613,5.6060735190
17,5.6136515932,5.6062428794
18,5.6136644660,5.6061809841
19,5.6136621267,5.6063767907
20,5.6136495705,5.6061727474
21,5.6136536396,5.6062265590
22,5.6136490322,5.6061671800
23,5.6136537681,5.6060927821
24,5.6136491212,5.6062145290
25,5.6136615522,5.6061749578
26,5.6136549791,5.6062797357
